contract_id,pdf_key,contract_name,project_name,sector,_subsector,contract_type,party,party_type,contract_date
6723,5/4859870e4e565f3542e73f54afc00c97/main.pdf,Humboldt Bay MWD Amendment 3,Humboldt Bay MWD,Power and Renewables,Diesel-Fired Power Plant,Amendment (Project),HUMBOLDT BAY MUNICIPAL WATER DISTRICT,Seller,2012-05-31
6777,5/63a139496ac79ded92756c2634feb2c1/main.pdf,Solano Irrigation District IDWA Offtake Agreement,Solano Irrigation District IDWA,Power and Renewables,Hydropower,Power Purchase Agreement,SOLANO IRRIGATION DISTRICT,Seller,1981-08-31
7309,5/783a8d8cb62a9fd50b0e042e09f51be1/26042.pdf,Midland Cogeneration Offtake Agreement,Midland Cogeneration,Power and Renewables,Solar,Power Purchase Agreement,Hillman Power Company,Party,2020-11-04
6869,5/5ffc55da48e155af9f1ecf33f2d84bb0/main.pdf,Fairfield Grossmont Trolley Offtake Agreement,Fairfield Grossmont Trolley,Power and Renewables,Coal Fired Power Plant,Facility Lease Agreement,"Fairfield Grossmont Trolley, LLC",Landlord,2010-04-29
7293,5/f81acdcc4b4be6b262560bbe2130aaa5/64285.pdf,Lake and Peninsula School District Offtake Agreement,Lake and Peninsula School District,Power and Renewables,Thermal,Power Purchase Agreement,REGULATORY COMMISSION OF ALASKA,Regulator,2006-01-17
6722,5/0e7d30e7a4b140c506d1c8241473ebff/main.pdf,Humboldt Bay MWD Amendment 2,Humboldt Bay MWD,Power and Renewables,Energy Storage,Amendment (Project),PACIFIC GAS AND ELECTRIC COMPANY.,Buyer,2006-04-17
6796,5/c9d529c33a8387eae6d195f1998c56d1/main.pdf,Yuba County Water Amendment 1,Yuba County Water,Power and Renewables,Generation,Power Purchase Agreement,YUBA COUNTY WATER AGENCY,Seller,2001-07-12
6721,5/6c88a1adc5df158f9d1fa66f487ca455/main.pdf,Humboldt Bay MWD Amendment 1,Humboldt Bay MWD,Power and Renewables,Geothermal,Amendment (Project),HUMBOLDT BAY MUNICIPAL WATER DISTRICT,Seller,2001-07-30
7236,5/200d3fc9732fa2945cd96b5c23eceacd/86374.pdf,Collins Pine Amendment 4,Collins Pine,Power and Renewables,Power Transmission and Distribution,Amendment (Project),"PACIFIC GAS AND ELECTRIC COMPANY,",Buyer,2006-06-25
6899,5/b83f7a23cb709adff6e989aa86172c4d/main.pdf,Canal Creek Offtake Agreement,Canal Creek,Power and Renewables,Wind,Power Purchase Agreement,PACIFIC GAS AND ELECTRlC COMPANY.,Buyer,1985-05-06
6902,5/74089d842ff228710d69e9dcd3933bed/main.pdf,South Sutter Water Offtake Agreement,South Sutter Water,Power and Renewables,Gas-Fired Power Plant,Power Purchase Agreement,PACIFIC GAS AND ELECTRIC COMPANY.,Buyer,2011-12-02
7283,5/dcc431274be619e12248e0c0b937a49d/98174.PDF,Sky River Offtake Agreement,Sky River,Power and Renewables,Geothermal,Power Purchase Agreement,ESI VG Limited Partnership,PPA Seller,2003-01-29
6742,5/dba56441b44aa53f2a91a68561ed6fe1/main.pdf,Pacific Station Amendment 1,Pacific Station,Power and Renewables,Geothermal,Energy Services Agreement,PACIFIC STATION PROPERTY LLC,Customer,2011-01-21
8745,5/837410c447654cde701fc444d6bf606c/main.pdf,"The People Of Zuzon Section, Grand Bassa County Ed Liberia Timber Private Use Permit ","The People Of Zuzon Section, Grand Bassa County Ed Liberia Timber Private Use Permit",Timber,Plantation,Private Use Permit,"The People of Zuzon Section, Grand Bassa County",Owner,2011-07-18
6967,5/df7d633299648dfb62c07278f6412483/main.pdf,Shamrock Utilities Clover Leaf Amendment 3,Shamrock Utilities Clover Leaf,Power and Renewables,Petroleum Coke-Fired Power Plant,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1985-04-11
7297,5/cb286bd4992a8e7f9025ce94d5ada9e2/02515.pdf,Chugach Amendment 2,Chugach,Power and Renewables,Energy Storage,Amendment (Project),REGULATORY COMMISSION OF ALASKA,Regulator,2000-07-12
6411,5/3cb1f5018ab9f17f85e65ad136f2db7a/main.pdf,Noble America Energy Solutions Noble 2  WSPP Amendment,Noble America Energy Solutions Noble 2,Power and Renewables,Hydropower,Power Purchase Agreement,San Diego Gas & Electric Company,Seller,2013-03-28
6943,5/4708fe638a8504c481c024b024b2767e/98857.PDF,Rattlesnake Road (Horizon) Offtake Agreement,Rattlesnake Road (Horizon),Power and Renewables,Wind,Power Purchase and Sale Agreement,ARLINGTON WIND POWER PROJECT LLC,Seller,2008-05-28
7170,5/eef9275c58099245cfaf1839f34bb7e9/main.pdf,Difwind Farms Limited V Offtake Agreement,Difwind Farms Limited V,Power and Renewables,Cogen,Power Purchase Agreement,DifWind Farms Limited V,Seller,2018-01-15
7370,5/3949e0a3505dfc285751ab9255c98702/54675.pdf,Dixie-Escalante Rural Electric Amendment 2,Dixie-Escalante Rural Electric,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,"Keyhole Ranch, L.L.C.",Grantor,2020-10-07
